script,oracle_result,sley_result,oracle_cells,sley_cells,cell_vector,correctness,unexpected_sley_skips,missing_sley_cells,extra_sley_cells,performance_eligible,performance_comparison
t6417-merge-ours-theirs.sh,PASS,FAIL,7,7,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6418-merge-text-auto.sh,PASS,FAIL,11,11,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6419-merge-ignorecase.sh,PASS,FAIL,2,2,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6421-merge-partial-clone.sh,PASS,FAIL,3,3,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6422-merge-rename-corner-cases.sh,PASS,FAIL,26,26,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6423-merge-rename-directories.sh,PASS,FAIL,82,82,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6424-merge-unrelated-index-changes.sh,PASS,FAIL,19,19,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6425-merge-rename-delete.sh,PASS,PASS,1,1,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6426-merge-skip-unneeded-updates.sh,PASS,PASS,13,13,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6427-diff3-conflict-markers.sh,PASS,PASS,9,9,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6428-merge-conflicts-sparse.sh,PASS,FAIL,2,2,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6429-merge-sequence-rename-caching.sh,PASS,FAIL,12,12,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6430-merge-recursive.sh,PASS,FAIL,36,36,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6431-merge-criscross.sh,PASS,PASS,2,2,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6432-merge-recursive-space-options.sh,PASS,PASS,11,11,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6433-merge-toplevel.sh,PASS,FAIL,15,15,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6434-merge-recursive-rename-options.sh,PASS,PASS,27,27,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6435-merge-sparse.sh,PASS,PASS,6,6,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6436-merge-overwrite.sh,PASS,FAIL,18,18,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6437-submodule-merge.sh,PASS,FAIL,22,22,EXACT,PASS,0,0,0,eligible,INCOMPARABLE
t6438-submodule-directory-file-conflicts.sh,PASS,PASS,56,56,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6439-merge-co-error-msgs.sh,PASS,FAIL,6,6,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6500-gc.sh,PASS,PASS,35,35,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6501-freshen-objects.sh,PASS,PASS,42,42,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6600-test-reach.sh,PASS,FAIL,53,53,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6601-path-walk.sh,PASS,PASS,36,36,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6700-tree-depth.sh,PASS,FAIL,10,10,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t7001-mv.sh,PASS,PASS,54,54,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7002-mv-sparse-checkout.sh,PASS,PASS,22,22,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7003-filter-branch.sh,PASS,FAIL,48,48,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t7004-tag.sh,PASS,PASS,231,231,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7005-editor.sh,PASS,PASS,12,12,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7007-show.sh,PASS,FAIL,18,18,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t7008-filter-branch-null-sha1.sh,PASS,FAIL,6,6,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t7010-setup.sh,PASS,PASS,16,16,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7011-skip-worktree-reading.sh,PASS,PASS,15,15,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7012-skip-worktree-writing.sh,PASS,PASS,11,11,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7030-verify-tag.sh,PASS,PASS,16,16,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7031-verify-tag-signed-ssh.sh,PASS,PASS,14,14,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7060-wtstatus.sh,PASS,FAIL,17,17,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t7061-wtstatus-ignore.sh,PASS,PASS,25,25,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7062-wtstatus-ignorecase.sh,PASS,PASS,1,1,EXACT,PASS,0,0,0,eligible,COMPARABLE
t7063-status-untracked-cache.sh,PASS,PASS,58,58,EXACT,PASS,0,0,0,eligible,COMPARABLE
