target,script,result,exit_code,pass,fail,todo,skip,total_cells,plan_total,abort,timeout,missing_cells,extra_cells
sley,t7814-grep-recurse-submodules.sh,PASS,0,27,0,7,0,34,34,0,0,0,0
sley,t8004-blame-with-conflicts.sh,PASS,0,3,0,0,0,3,3,0,0,0,0
sley,t8012-blame-colors.sh,PASS,0,120,0,0,0,120,120,0,0,0,0
sley,t9211-scalar-clone.sh,PASS,0,13,0,0,1,14,14,0,0,0,0
sley,t9350-fast-export.sh,PASS,0,58,0,1,14,73,73,0,0,0,0
sley,t0006-date.sh,PASS,0,149,0,0,0,149,149,0,0,0,0
sley,t0017-env-helper.sh,PASS,0,5,0,0,0,5,5,0,0,0,0
sley,t0025-crlf-renormalize.sh,PASS,0,3,0,0,0,3,3,0,0,0,0
sley,t0034-root-safe-directory.sh,SKIP,0,0,0,0,1,0,0,0,0,0,0
sley,t0056-git-C.sh,PASS,0,11,0,0,0,11,11,0,0,0,0
sley,t0071-sort.sh,PASS,0,1,0,0,0,1,1,0,0,0,0
sley,t0101-at-syntax.sh,PASS,0,8,0,0,0,8,8,0,0,0,0
sley,t0212-trace2-event.sh,PASS,0,11,0,0,0,11,11,0,0,0,0
sley,t0450-txt-doc-vs-help.sh,FAIL,1,827,0,51,18,896,896,0,0,0,0
sley,t0613-reftable-write-options.sh,PASS,0,11,0,0,0,11,11,0,0,0,0
sley,t1006-cat-file.sh,PASS,0,289,0,1,1,291,291,0,0,0,0
sley,t1014-read-tree-confusing.sh,PASS,0,28,0,0,0,28,28,0,0,0,0
sley,t1090-sparse-checkout-scope.sh,FAIL,1,6,1,0,0,7,7,0,0,0,0
